ID,Lat,Lon,pm25_value,AOD550,temp_2m,rhum,zonal_wind_10m,merid_wind_10m,surf_pres,hpbl,conv_prec,short_radi_surf,NDVI,DEM,Population,distance,NLCD_Developed,year,month,doy,rid
4454,-11.8665352,-77.0730057,23.60583333,0.171692026,288.3179078,92.26575,0.094256264,0.861929799,81484.59711,700.6131824,0.0728,92.9082185185185,0.1524,186.0,8745,4037.168725,0.7566839444,2016,1,25,2
2577,-12.163311,-76.9192429,27.25332521,0.164713721,289.4425614,89.49254,-0.87043539,-0.072377084,83558.5656,318.5621575,1.021514,57.3696311111111,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,1,26,2
4454,-11.8665352,-77.0730057,31.57583333,0.172454018,288.1314537,89.7551,-0.824906118,0.206716211,81578.98934,516.9403515,0.884284,55.7747040509259,0.1524,186.0,8745,4037.168725,0.7566839444,2016,1,26,2
2577,-12.163311,-76.9192429,26.02376325,0.189221,289.6075177,86.35839,-0.693185182,0.645510747,83334.19507,322.3735117,0.238024,80.9937873032407,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,1,27,2
4454,-11.8665352,-77.0730057,27.01333333,0.185284871,288.1121597,86.4727,-0.64829922,0.635546058,81370.92871,592.8124995,0.125078,72.6769915856482,0.1524,186.0,8745,4037.168725,0.7566839444,2016,1,27,2
2577,-12.163311,-76.9192429,18.66682454,0.182290683,289.8681327,92.14842,-0.309394239,0.714169254,83319.82325,327.0818494,0.038,86.1420702893518,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,1,28,2
4454,-11.8665352,-77.0730057,23.398875,0.184354577,288.6271386,91.24158,-0.263334446,0.714503688,81356.28188,553.7157405,0.0255,76.7789922569444,0.1524,186.0,8745,4037.168725,0.7566839444,2016,1,28,2
2577,-12.163311,-76.9192429,24.27957654,0.18680045,290.3466025,93.27104,-0.09181321,1.155429325,83368.15693,335.6572393,0.0746,80.5037130092593,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,1,29,2
4454,-11.8665352,-77.0730057,26.60833333,0.187576821,288.9730831,93.49613,0.035877123,1.08508826,81395.3378,724.7163041,0.240794,76.2135258796296,0.1524,186.0,8745,4037.168725,0.7566839444,2016,1,29,2
2577,-12.163311,-76.9192429,20.2773785,0.199989616,289.8554062,86.76088,-0.54424097,0.682331488,83419.61709,329.0173064,0.0598,87.6572846875,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,1,30,2
4454,-11.8665352,-77.0730057,26.97958333,0.20219311,288.4602352,87.36695,-0.386849531,0.803906253,81447.34443,525.0309555,0.166934,86.8895672685185,0.1524,186.0,8745,4037.168725,0.7566839444,2016,1,30,2
2577,-12.163311,-76.9192429,22.94282625,0.203503057,290.1437935,86.85766,0.02827202,1.089157649,83456.48248,342.3426367,0.211202,89.925822337963,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,1,31,2
4454,-11.8665352,-77.0730057,26.82208333,0.207278351,288.7323531,85.35317,-0.002910216,0.981314686,81476.55655,523.3348442,0.249861,86.2350859375,0.1524,186.0,8745,4037.168725,0.7566839444,2016,1,31,2
2577,-12.163311,-76.9192429,17.0096235,0.216047401,289.9033251,93.95528,-0.402806256,1.081700788,83290.97782,333.4502904,0.552553,52.6097507638889,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,2,33,2
4454,-11.8665352,-77.0730057,23.15291667,0.218903022,288.532501,91.48903,-0.519982044,0.968873388,81321.46405,492.6475229,0.600775,54.9257379861111,0.1524,186.0,8745,4037.168725,0.7566839444,2016,2,33,2
2577,-12.163311,-76.9192429,18.18452925,0.22223206,290.1207039,89.32817,-0.407481604,0.963529128,83275.15301,351.4010256,0.0538,82.0796137268519,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,2,34,2
3431,-12.0284128,-76.9188995,25.4719625,0.234232,289.1559093,88.84031,-0.31898208,0.808583937,81265.81866,347.8195844,0.0648,81.5354607175926,0.1132,372.6666667,2979,884.9861099,0.4540568895,2016,2,34,2
4454,-11.8665352,-77.0730057,27.66875,0.223827777,288.8358982,89.34961,-0.286477574,0.959832678,81308.46218,508.5028592,0.0665,82.2864479398148,0.1524,186.0,8745,4037.168725,0.7566839444,2016,2,34,2
2577,-12.163311,-76.9192429,20.55081038,0.22994134,290.2982776,86.54546,-0.535372905,0.819704482,83345.67892,329.8052197,0.0139,99.7572197685185,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,2,35,2
3431,-12.0284128,-76.9188995,23.607725,0.239596,289.3262832,86.27027,-0.40703832,0.746086937,81334.74636,311.8255661,0.0172,97.9222873611111,0.1132,372.6666667,2979,884.9861099,0.4540568895,2016,2,35,2
4454,-11.8665352,-77.0730057,28.02458333,0.231658967,289.0106654,86.74643,-0.312338861,0.910999838,81376.63008,490.9569178,0.0181,97.5857548263889,0.1524,186.0,8745,4037.168725,0.7566839444,2016,2,35,2
2577,-12.163311,-76.9192429,23.61936292,0.230758906,289.8651995,86.8639,-0.676942469,0.921654585,83299.02662,308.6990019,0.0103,101.09477212963,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,2,36,2
3431,-12.0284128,-76.9188995,28.60602375,0.2405765,288.8406358,85.91957,-0.627778377,0.768629196,81289.37512,372.6744892,0.00816,100.228808530093,0.1132,372.6666667,2979,884.9861099,0.4540568895,2016,2,36,2
4454,-11.8665352,-77.0730057,29.80416667,0.292946,288.5355634,86.39051,-0.64148396,0.938887791,81331.77309,506.8792357,0.0,100.693332650463,0.1524,186.0,8745,4037.168725,0.7566839444,2016,2,36,2
2577,-12.163311,-76.9192429,26.75446563,0.227094294,290.790352,88.70421,-0.664122566,1.324095516,83276.28638,317.0043251,0.0386,88.1133024189815,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,2,38,2
3431,-12.0284128,-76.9188995,21.63228958,0.2330685,289.8700342,87.89186,-0.656389348,1.021441201,81269.95929,296.1670892,0.0338,86.6161831134259,0.1132,372.6666667,2979,884.9861099,0.4540568895,2016,2,38,2
4454,-11.8665352,-77.0730057,22.836125,0.2575315,289.5190429,88.11576,-0.734898428,1.159940207,81313.41644,452.6585329,0.0114,86.2288142476852,0.1524,186.0,8745,4037.168725,0.7566839444,2016,2,38,2
2577,-12.163311,-76.9192429,7.981841455,0.235446435,290.9683557,92.95403,-0.236245445,1.223967208,83267.0596,336.2327363,0.133503,80.7756851967593,0.1452,328.3076923,2589,6474.234323,0.0189896755,2016,2,39,2
3431,-12.0284128,-76.9188995,19.07625875,0.265314,290.0309244,91.44411,-0.282046281,0.944132897,81262.12026,339.6431538,0.10947,79.8079239699074,0.1132,372.6666667,2979,884.9861099,0.4540568895,2016,2,39,2
4454,-11.8665352,-77.0730057,21.37083333,0.261857,289.6262832,90.32894,-0.404428016,1.14746933,81306.49135,486.5326083,0.0705,80.2778245717593,0.1524,186.0,8745,4037.168725,0.7566839444,2016,2,39,2
3431,-12.0284128,-76.9188995,29.76468438,0.2718215,289.740371,89.25447,-0.443737989,1.030958123,81319.92215,386.8992079,0.106819,83.9566366203704,0.1132,372.6666667,2979,884.9861099,0.4540568895,2016,2,40,2
4454,-11.8665352,-77.0730057,27.414375,0.2597055,289.3242295,88.8556,-0.531254482,1.244102629,81365.69724,584.4158983,0.132135,84.2098705902778,0.1524,186.0,8745,4037.168725,0.7566839444,2016,2,40,2
3431,-12.0284128,-76.9188995,23.24105833,0.273679,290.0656702,88.95382,-0.14692596,1.007913572,81387.07892,515.6099109,0.845916,86.0357077777778,0.0906,372.6666667,2979,884.9861099,0.4540568895,2016,2,41,2
4454,-11.8665352,-77.0730057,31.25,0.266851,289.6880608,88.84902,-0.205445871,1.173361234,81432.53264,747.4481099,0.104076,86.3789765972222,0.1496,186.0,8745,4037.168725,0.7566839444,2016,2,41,2
3431,-12.0284128,-76.9188995,30.01208333,0.2793545,289.7162316,87.32427,-0.360754584,0.692329314,81367.21917,651.6326432,0.431485,64.9653183680556,0.0906,372.6666667,2979,884.9861099,0.4540568895,2016,2,42,2
